metric_name,group_name,data_period,est,lci,uci,geo_name,state_abbr,period_type,source_name
Binge Drinking,Total,2022,16.4,14.7,18.1,Surprise,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.7,17.7,21.7,Tempe,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.3,14.3,18.3,Tucson,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.9,15.3,20.5,Yuma,AZ,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.2,13.6,18.8,Alma,AR,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.5,15.9,21.1,Bentonville,AR,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.5,13.9,19.1,Conway,AR,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20.8,17.9,23.7,Fayetteville,AR,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,14.4,12,16.8,Fort Smith,AR,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16,13.3,18.7,Jonesboro,AR,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.3,15,19.6,Little Rock,AR,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.6,14.4,18.8,North Little Rock,AR,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.1,14.6,19.6,Rogers,AR,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.1,15.8,20.4,Springdale,AR,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.2,16,20.4,Alameda,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,13.7,12.4,15,Alhambra,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.9,17.6,22.2,Aliso Viejo,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.5,15.4,19.6,Anaheim,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18,15.5,20.5,Antioch,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.4,14.2,18.6,Apple Valley,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,12.5,11.2,13.8,Arcadia,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.2,14,18.4,Arden-Arcade,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.7,16.9,20.5,Azusa,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.1,15.5,20.7,Bakersfield,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.5,14.9,18.1,Baldwin Park,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.6,16.2,21,Beaumont,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.6,15.9,19.3,Bellflower,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20.4,17.9,22.9,Berkeley,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.1,16.5,21.7,Brentwood,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.9,14,17.8,Buena Park,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.3,17.5,21.1,Burbank,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18,15.7,20.4,Camarillo,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20.8,18.7,22.9,Carlsbad,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.7,14.6,18.8,Carmichael,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.7,15.9,21.5,Carpinteria,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,14.9,13.5,16.3,Carson,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.1,15.9,20.3,Castro Valley,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.8,14.7,18.9,Cathedral City,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,12.2,11,13.4,Cerritos,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20,17,23,Chico,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.3,15,19.6,Chino,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.7,13.6,17.8,Chino Hills,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.9,17.8,22,Chula Vista,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.2,15.8,20.6,Citrus Heights,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.4,15,19.8,Clovis,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.9,15.5,20.3,Colton,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.5,15.9,19.1,Compton,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.1,16.5,21.7,Concord,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.2,16.8,21.6,Corona,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20.2,17.9,22.5,Costa Mesa,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18,16.4,19.6,Covina,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,12.7,11,14.4,Cupertino,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.6,13.7,17.5,Cypress,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,14.7,12.5,16.9,Daly City,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.7,15,20.4,Davis,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.5,14.9,20.1,Delano,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,13.3,12,14.6,Diamond Bar,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.9,17.2,20.6,Downey,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.5,16.2,20.8,Dublin,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18,16.3,19.7,East Los Angeles,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.4,16.1,20.7,Eastvale,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20.4,18.3,22.5,El Cajon,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.7,15.8,21.6,El Dorado Hills,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.2,13.2,17.2,Elk Grove,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15,13.6,16.4,El Monte,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,21.4,19.3,23.5,Encinitas,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20.3,18.2,22.4,Escondido,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.1,14.5,19.7,Fairfield,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.9,16.2,19.6,Florence-Graham,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,13.4,11.6,15.2,Florin,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.1,15.8,20.4,Folsom,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.5,16.1,20.9,Fontana,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,14.7,12.9,16.5,Fountain Valley,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16,14,18,Fremont,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.7,13.5,17.9,Fresno,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.9,14.9,18.9,Fullerton,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.2,13.7,16.7,Gardena,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,14.5,12.7,16.3,Garden Grove,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.3,16.1,20.5,Gilroy,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.8,16.2,19.4,Glendale,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.4,16.7,20.1,Glendora,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,14.3,13,15.6,Hacienda Heights,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.1,16,22.2,Hanford,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.8,16.1,19.5,Hawthorne,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.4,16.1,20.7,Hayward,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.5,13.5,17.5,Hemet,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.9,15.5,20.2,Hesperia,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.5,15.2,19.8,Highland,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.2,16.1,20.3,Huntington Beach,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.9,16.3,19.5,Huntington Park,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.4,15.2,19.6,Indio,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.6,15,18.2,Inglewood,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.7,14.7,18.7,Irvine,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.8,16.4,21.2,Jurupa Valley,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.8,15.7,19.9,Laguna Niguel,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.8,15.7,19.9,La Habra,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.6,17.1,22.1,Lake Elsinore,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.3,16.2,20.4,Lake Forest,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.3,16.6,20,Lakewood,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,21.2,19.1,23.3,La Mesa,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.2,16.6,19.8,Lancaster,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,21.3,18.8,23.8,Livermore,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.2,14.7,19.7,Lodi,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.2,16.3,22.1,Lompoc,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.1,16.4,19.8,Long Beach,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.3,16.6,20,Los Angeles,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.4,16.7,20.1,Lynwood,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.2,15.3,21.1,Madera,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.1,14.6,19.6,Manteca,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.2,15.9,20.5,Menifee,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.2,14.4,20,Merced,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,13.5,11.8,15.2,Milpitas,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.6,15.5,19.7,Mission Viejo,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.2,15.4,21,Modesto,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17,15.4,18.6,Montebello,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,11.5,10.4,12.6,Monterey Park,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.6,16.2,21,Moreno Valley,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.2,16,20.4,Mountain View,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.7,17.3,22.1,Murrieta,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.3,16.2,22.4,Napa,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.9,16,19.8,National City,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.1,16,20.2,Newport Beach,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.9,16.2,19.6,Norwalk,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.9,16,21.8,Novato,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.5,17.2,21.8,Oakland,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20.6,18.5,22.7,Oceanside,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18,15.7,20.4,Ontario,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.8,16.6,21,Orange,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.6,16.1,21.1,Oxnard,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.5,16.8,20.2,Palmdale,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,14.6,12.7,16.5,Palm Desert,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.7,13.8,17.6,Palo Alto,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.5,16.8,20.2,Paramount,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.6,16,19.2,Pasadena,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.3,16.8,21.8,Perris,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.6,15.7,21.5,Petaluma,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.1,16.4,19.8,Pico Rivera,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.8,15.3,20.3,Pittsburg,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.3,15.3,19.3,Placentia,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18,15.8,20.2,Pleasanton,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.8,16.2,19.4,Pomona,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.4,15.5,21.3,Porterville,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.5,15.2,19.8,Rancho Cordova,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18,15.6,20.4,Rancho Cucamonga,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18,15.1,20.9,Redding,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.8,15.5,20.1,Redlands,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20.2,18.4,22,Redondo Beach,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20.1,17.3,22.9,Redwood City,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.9,15.5,20.2,Rialto,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.8,15.3,20.3,Richmond,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.2,16.8,21.6,Riverside,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.7,16.8,22.6,Rocklin,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,11.6,10.5,12.7,Rosemead,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.6,15.8,21.4,Roseville,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.3,14.2,18.4,Sacramento,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.3,14.5,20.1,Salinas,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.2,14.9,19.5,San Bernardino,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.9,16.4,21.4,San Buenaventura (Ventura),CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.2,17,21.4,San Clemente,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,21,18.9,23.1,San Diego,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,23.1,20.3,25.9,San Francisco,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.3,16,20.6,San Jacinto,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.9,13.9,17.9,San Jose,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.8,14.7,18.9,San Leandro,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,21.3,19.1,23.5,San Marcos,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.5,15.9,21.1,San Mateo,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.7,16.8,22.6,San Rafael,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.9,14.5,19.2,San Ramon,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.9,15.8,20,Santa Ana,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.4,16.5,22.3,Santa Barbara,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.7,14.7,18.7,Santa Clara,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.5,17.7,21.3,Santa Clarita,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,21.4,18.3,24.5,Santa Cruz,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19,16.1,21.9,Santa Maria,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.7,17.9,21.5,Santa Monica,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.2,15.4,21,Santa Rosa,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,21.8,19.6,24,Santee,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.3,16.7,21.9,Simi Valley,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.5,16.7,20.3,South Gate,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.2,13.8,18.6,South San Francisco,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.5,17.7,21.3,South Whittier,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.5,13.2,17.8,Stockton,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.3,14.3,18.3,Sunnyvale,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.9,17.4,22.4,Temecula,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.4,16,20.8,Thousand Oaks,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.2,14.7,17.7,Torrance,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.5,15,20,Tracy,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.4,16.4,22.4,Tulare,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.6,15.7,21.5,Turlock,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.9,15.8,20,Tustin,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.5,13.5,17.5,Union City,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.6,15.3,19.9,Upland,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.9,16,21.8,Vacaville,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.3,12.9,17.7,Vallejo,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.3,14.9,19.7,Victorville,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.6,16.6,22.6,Visalia,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,21.9,19.7,24.1,Vista,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17,14.7,19.3,Walnut Creek,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.3,16.3,22.3,Watsonville,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.2,14.6,17.8,West Covina,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,12.8,11.2,14.4,Westminster,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.9,15.1,20.7,West Sacramento,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19,17.2,20.8,Whittier,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18,15.2,20.8,Woodland,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.7,14.7,18.7,Yorba Linda,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.7,13.9,19.5,Yuba City,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.6,16.2,21,Yucaipa,CA,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20.9,18.7,23.1,Arvada,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.8,16.9,20.7,Aurora,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,21.3,18.7,23.9,Boulder,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20.7,17.6,23.8,Broomfield,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20.5,18,23,Castle Rock,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.8,17.7,21.9,Centennial,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.9,13.9,17.9,Colorado Springs,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.8,16.6,21,Commerce City,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,26.6,24.2,29,Denver,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,22.7,20,25.4,Fort Collins,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.8,15.4,20.2,Grand Junction,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.9,15.7,20.1,Greeley,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.1,16.7,21.5,Highlands Ranch,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20.5,18.1,22.9,Lafayette,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20.7,18.4,23,Lakewood,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.8,17.5,22.1,Longmont,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20.6,18.1,23.1,Loveland,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,20.5,18,23,Parker,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.9,14.5,19.3,Pueblo,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.5,16.3,20.7,Thornton,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,19.8,18,21.6,Westminster,CO,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,14.2,12.5,15.9,Bridgeport,CT,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.9,15.1,18.7,Bristol,CT,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.3,14.4,18.2,Danbury,CT,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,14.1,12.5,15.7,Hartford,CT,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.6,15.6,19.6,Meriden,CT,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,18.7,16.7,20.7,Milford,CT,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.4,13.6,17.2,New Britain,CT,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.4,15.5,19.3,New Haven,CT,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.4,14.5,18.3,Norwalk,CT,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.6,14.7,18.5,Stamford,CT,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,15.6,13.5,17.7,Torrington,CT,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.4,14.6,18.2,Waterbury,CT,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.7,15.7,19.7,West Haven,CT,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,14.2,12.2,16.2,Wilmington,DE,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,25.1,22.2,28,Washington,DC,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,17.7,15.3,20.1,Apopka,FL,1 year modeled estimate,PLACES
Binge Drinking,Total,2022,16.2,13.7,18.7,Boca Raton,FL,1 year modeled estimate,PLACES
